종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
066575,LG전자우,"59,800","-2,000","3.24","59,900","59,800","710,169","42,819,413,000","60,500","63,700","58,300","5,000",원(KRW),"17,185,992","1,027,722,321,600",
108670,LG하우시스,"77,200","-1,700","2.15","77,300","77,200","94,732","7,318,403,400","78,800","78,800","75,600","5,000",원(KRW),"8,967,670","692,304,124,000",
108675,LG하우시스우,"32,900","-400","1.20","32,900","32,700","12,899","423,206,650","33,250","33,450","32,250","5,000",원(KRW),"1,032,330","33,963,657,000",
037560,LG헬로비전,"3,850","10","0.26","3,850","3,845","502,795","1,936,941,260","3,810","3,900","3,800","2,500",원(KRW),"77,446,865","298,170,430,250",
051910,LG화학,"962,000","-36,000","3.61","963,000","962,000","774,712","748,066,167,011","985,000","994,000","935,000","5,000",원(KRW),"70,592,343","67,909,833,966,000",
051915,LG화학우,"461,000","-19,000","3.96","461,500","461,000","114,657","52,508,639,000","470,000","473,500","440,000","5,000",원(KRW),"7,688,800","3,544,536,800,000",
079550,LIG넥스원,"32,250","250","0.78","32,250","32,200","200,245","6,381,639,250","32,200","32,300","31,500","5,000",원(KRW),"22,000,000","709,500,000,000",
006260,LS,"72,000","-2,700","3.61","72,200","72,000","491,204","35,470,087,400","74,200","74,200","70,900","5,000",원(KRW),"32,200,000","2,318,400,000,000",
010120,LS ELECTRIC,"68,300","-700","1.01","68,400","68,300","360,296","24,611,161,800","68,000","70,400","66,600","5,000",원(KRW),"30,000,000","2,049,000,000,000",
000680,LS네트웍스,"2,530","-45","1.75","2,530","2,525","98,838","251,438,680","2,570","2,600","2,500","5,000",원(KRW),"78,803,016","199,371,630,480",
229640,LS전선아시아,"7,760","-10","0.13","7,770","7,760","279,869","2,177,876,170","7,770","7,930","7,680","500",원(KRW),"30,624,879","237,649,061,040",
023150,MH에탄올,"7,660","-70","0.91","7,660","7,650","41,453","319,166,270","7,620","7,830","7,600","500",원(KRW),"7,378,526","56,519,509,160",
065150,MP그룹,"1,105","-20","1.78","1,105","1,100","1,065,446","1,171,372,440","1,125","1,125","1,080","100",원(KRW),"124,435,974","137,501,751,270",
